,cases
2020-03-23,3
2020-03-24,8
2020-03-25,8
2020-03-26,8
2020-03-27,33
2020-03-28,33
2020-03-29,33
2020-03-30,33
2020-03-31,93
2020-04-01,93
2020-04-02,93
2020-04-03,93
2020-04-04,93
2020-04-05,155
2020-04-06,155
2020-04-07,230
2020-04-08,286
2020-04-09,416
2020-04-10,447
2020-04-11,550
2020-04-12,585
2020-04-13,589
2020-04-15,615
2020-04-16,655
2020-04-17,660
2020-04-18,669
2020-04-19,672
2020-04-20,678
